Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
bad,no running account,12,no previous credits or paid back,other,2579,no savings,less than 1 year,less than 20,male:single,none,less than 1 year,no assets,33,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,yes,0.580902559
bad,no running account,36,no previous credits or paid back,used car,3446,no savings,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,42,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.579084931
bad,>=200 DM,12,no previous credits or paid back,used car,1123,between 100 and 500 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,29,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,0.570679579
good,no balance,30,no problems with current credits at this bank,retraining,2503,less than 100 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,car/other,41,at department store or mail order house,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.570194509
good,>=200 DM,36,paid back previous credits at this bank,new car,10477,greater than 1000 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,42,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.567870727
good,>=200 DM,24,no previous credits or paid back,new car,2679,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,ownership of house or land,29,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.566091513
good,>=200 DM,6,no previous credits or paid back,radio/television,1338,between 100 and 500 DM,between 1 and 4 years,greater than 35,male:divorced/living apart,none,greater than 7 years,no assets,62,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.562659694
good,no running account,24,paid back previous credits at this bank,items of furniture,1231,between 500 and 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,57,no further running credits,free apartment,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,0.558413696
good,no balance,18,paid back previous credits at this bank,used car,7374,no savings,unemployed,less than 20,male:single,none,greater than 7 years,car/other,40,at department store or mail order house,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,0.558401677
good,>=200 DM,15,no previous credits or paid back,radio/television,874,greater than 1000 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.557719361
good,no running account,20,no previous credits or paid back,used car,2212,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,39,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.557613002
good,no balance,18,no previous credits or paid back,items of furniture,3213,between 100 and 500 DM,less than 1 year,greater than 35,male:married/widowed,none,between 4 and 7 years,no assets,25,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.547568657
bad,no running account,36,no previous credits or paid back,new car,8229,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.542032761
good,no balance,42,paid back previous credits at this bank,retraining,5954,no savings,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,less than 1 year,no assets,41,at other banks,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.535479866
good,no running account,6,paid back previous credits at this bank,other,3676,no savings,between 1 and 4 years,greater than 35,male:single,none,between 4 and 7 years,no assets,37,no further running credits,free apartment,4 or 5,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.535431892
bad,no balance,12,no previous credits or paid back,household appliances,639,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,30,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.534058001
good,>=200 DM,18,paid back previous credits at this bank,other,1028,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,no assets,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.533920532
good,>=200 DM,48,problematic running accounts,retraining,3609,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,no assets,27,at department store or mail order house,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.522535918
bad,no running account,18,no previous credits or paid back,used car,2039,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,no assets,20,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.519673365
good,no balance,12,no previous credits or paid back,other,1318,between 500 and 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,54,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.517609337
good,>=200 DM,27,no problems with current credits at this bank,new car,8613,between 500 and 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.514176454
good,no running account,12,paid back previous credits at this bank,other,2122,no savings,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,no assets,39,no further running credits,free apartment,2 or 3,unskilled with permanant residence,0 to 2,no,no,0.513484418
good,no running account,12,no previous credits or paid back,used car,1858,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,22,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.510842569
good,>=200 DM,28,paid back previous credits at this bank,items of furniture,2743,no savings,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,29,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.503784648
good,>=200 DM,12,no previous credits or paid back,items of furniture,2141,less than 100 DM,between 4 and 7 years,between 20 and 25,male:single,none,less than 1 year,ownership of house or land,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.501807093
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,522,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,42,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.501444601
good,>=200 DM,7,paid back previous credits at this bank,items of furniture,730,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,car/other,46,no further running credits,free apartment,2 or 3,unskilled with permanant residence,3 and more,yes,yes,0.49858112
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,2223,less than 100 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,52,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.495955693
good,>=200 DM,10,no previous credits or paid back,other,1287,greater than 1000 DM,greater than 7 years,less than 20,male:single,co-applicant,between 1 and 4 years,car/other,45,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,no,0.488616968
bad,<= 200 DM,15,no previous credits or paid back,items of furniture,2327,no savings,less than 1 year,between 25 and 35,female:divorced/living apart/married,none,between 4 and 7 years,no assets,25,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,0.487287929
bad,no running account,12,no previous credits or paid back,used car,7865,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,53,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.486752406
bad,no balance,24,no previous credits or paid back,items of furniture,3092,less than 100 DM,less than 1 year,between 20 and 25,male:married/widowed,none,between 1 and 4 years,savings contract with a building society/Life insurance,22,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.484899756
bad,no running account,12,no previous credits or paid back,items of furniture,709,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,57,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,0.484796459
good,no balance,18,paid back previous credits at this bank,used car,1295,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,car/other,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.463393145
bad,no running account,24,no previous credits or paid back,other,3123,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,car/other,27,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.459938265
good,no balance,12,paid back previous credits at this bank,radio/television,1424,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.456101805
bad,no running account,18,no previous credits or paid back,used car,2462,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,22,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.453950828
good,>=200 DM,18,no previous credits or paid back,used car,2515,no savings,between 1 and 4 years,between 20 and 25,male:single,none,greater than 7 years,no assets,43,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.452447605
good,>=200 DM,36,paid back previous credits at this bank,items of furniture,3342,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,51,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.447033771
bad,no balance,45,paid back previous credits at this bank,items of furniture,4746,no savings,less than 1 year,less than 20,male:single,none,between 1 and 4 years,car/other,24,at other banks,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.44562659
good,no balance,6,no previous credits or paid back,items of furniture,1068,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.441758395
good,>=200 DM,24,paid back previous credits at this bank,new car,6842,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,greater than 7 years,car/other,46,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,0 to 2,yes,yes,0.434313267
bad,>=200 DM,48,no previous credits or paid back,retraining,4844,no savings,unemployed,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,33,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.429399117
good,>=200 DM,12,no previous credits or paid back,new car,4675,greater than 1000 DM,less than 1 year,greater than 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.428301688
good,>=200 DM,12,paid back previous credits at this bank,repair,3565,greater than 1000 DM,less than 1 year,between 25 and 35,male:single,none,less than 1 year,car/other,37,no further running credits,rented,2 or 3,unskilled with permanant residence,0 to 2,no,yes,0.427895172
bad,no balance,18,no previous credits or paid back,new car,12976,no savings,unemployed,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,38,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.42360273
good,no balance,15,paid back previous credits at this bank,retraining,2326,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,27,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.423320408
bad,no balance,36,no problems with current credits at this bank,other,8086,less than 100 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,42,at department store or mail order house,rented,6 or more,executive/self-employed/higher civil servant,3 and more,yes,yes,0.41921497
bad,no running account,12,paid back previous credits at this bank,other,691,no savings,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,35,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.41600304
bad,<= 200 DM,10,no previous credits or paid back,other,1240,less than 100 DM,greater than 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,48,no further running credits,owner,one,unskilled with permanant residence,0 to 2,no,yes,0.415911769
bad,no running account,12,no previous credits or paid back,items of furniture,727,less than 100 DM,less than 1 year,less than 20,male:married/widowed,none,between 4 and 7 years,ownership of house or land,33,no further running credits,rented,one,unskilled with permanant residence,3 and more,yes,yes,0.414655493
good,>=200 DM,12,no previous credits or paid back,other,3527,greater than 1000 DM,less than 1 year,between 25 and 35,male:single,none,between 4 and 7 years,car/other,45,no further running credits,rented,one,executive/self-employed/higher civil servant,0 to 2,yes,yes,0.408537321
bad,no running account,24,no previous credits or paid back,used car,3234,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,yes,yes,0.407636918
good,>=200 DM,36,no previous credits or paid back,retraining,7409,greater than 1000 DM,greater than 7 years,between 20 and 25,male:single,none,between 1 and 4 years,car/other,37,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.406468678
good,<= 200 DM,12,no previous credits or paid back,items of furniture,3016,no savings,between 1 and 4 years,between 20 and 25,male:married/widowed,none,less than 1 year,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.396085143
good,>=200 DM,10,no previous credits or paid back,new car,2848,less than 100 DM,between 1 and 4 years,greater than 35,male:single,co-applicant,between 1 and 4 years,no assets,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.394207358
bad,no running account,24,no previous credits or paid back,items of furniture,1823,no savings,unemployed,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,30,at department store or mail order house,rented,one,executive/self-employed/higher civil servant,0 to 2,no,yes,0.393476767
good,no running account,18,no previous credits or paid back,used car,2659,between 500 and 1000 DM,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.393203972
bad,no running account,24,hesistant payment of previous credits,used car,4110,no savings,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,23,at other banks,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.391958938
good,>=200 DM,4,paid back previous credits at this bank,other,1455,no savings,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,no assets,42,no further running credits,rented,4 or 5,unskilled with permanant residence,0 to 2,no,yes,0.390690068
bad,no running account,24,problematic running accounts,items of furniture,1546,no savings,between 4 and 7 years,less than 20,male:single,guarantor,greater than 7 years,savings contract with a building society/Life insurance,24,at other banks,free apartment,one,unskilled with permanant residence,3 and more,no,yes,0.389867129
good,>=200 DM,36,no previous credits or paid back,new car,8133,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,30,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.384338771
good,>=200 DM,18,paid back previous credits at this bank,items of furniture,1149,between 500 and 1000 DM,between 1 and 4 years,less than 20,male:single,none,between 4 and 7 years,no assets,46,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.38318249
good,no running account,12,problematic running accounts,vacation,339,no savings,greater than 7 years,less than 20,male:married/widowed,none,less than 1 year,savings contract with a building society/Life insurance,45,at other banks,rented,one,unskilled with permanant residence,3 and more,no,yes,0.372375176
good,no running account,18,no previous credits or paid back,items of furniture,1936,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,23,no further running credits,free apartment,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.372174511
good,no running account,24,paid back previous credits at this bank,new car,2957,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,63,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.371769082
good,no running account,15,no previous credits or paid back,retraining,806,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,22,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,0.368846717
good,>=200 DM,30,paid back previous credits at this bank,items of furniture,4530,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,26,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.361339461
good,no balance,11,no problems with current credits at this bank,items of furniture,4771,no savings,between 4 and 7 years,between 25 and 35,male:single,none,greater than 7 years,car/other,51,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.357856062
good,>=200 DM,12,no previous credits or paid back,items of furniture,2171,no savings,less than 1 year,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,29,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.356968924
bad,no running account,18,paid back previous credits at this bank,used car,2124,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,24,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.351565429
good,>=200 DM,36,no previous credits or paid back,items of furniture,3595,no savings,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.34552941
good,no running account,6,no previous credits or paid back,other,662,no savings,less than 1 year,between 20 and 25,male:single,none,greater than 7 years,no assets,41,no further running credits,rented,one,unskilled with permanant residence,0 to 2,yes,yes,0.343532252
good,>=200 DM,18,paid back previous credits at this bank,items of furniture,1098,no savings,unemployed,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,65,no further running credits,rented,2 or 3,unemployed/unskilled with no permaant residence,3 and more,no,yes,0.342618474
good,no running account,12,paid back previous credits at this bank,other,2121,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,car/other,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.342189965
good,>=200 DM,12,no previous credits or paid back,new car,2445,greater than 1000 DM,less than 1 year,between 25 and 35,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,26,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.340208038
bad,no balance,36,no previous credits or paid back,repair,12612,less than 100 DM,between 1 and 4 years,greater than 35,male:single,none,greater than 7 years,ownership of house or land,47,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.338968743
good,>=200 DM,36,paid back previous credits at this bank,retraining,6304,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.337970205
good,no running account,30,no previous credits or paid back,used car,3622,between 500 and 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,57,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.334696172
good,no balance,30,problematic running accounts,used car,3496,between 500 and 1000 DM,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,34,at department store or mail order house,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.326428958
bad,no balance,36,hesistant payment of previous credits,items of furniture,3804,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,42,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.322857697
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,976,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,35,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.3201741
good,no running account,36,no previous credits or paid back,used car,3620,no savings,between 1 and 4 years,greater than 35,male:single,guarantor,between 1 and 4 years,car/other,37,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.318463775
good,>=200 DM,60,no previous credits or paid back,other,6527,greater than 1000 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,34,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.314821134
bad,no balance,60,problematic running accounts,business,14782,less than 100 DM,greater than 7 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,60,at other banks,owner,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,0.312761701
good,no balance,18,no problems with current credits at this bank,retraining,2427,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,car/other,42,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.310729154
good,>=200 DM,22,no previous credits or paid back,other,1283,greater than 1000 DM,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,25,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.308763839
good,no running account,6,no previous credits or paid back,radio/television,343,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,27,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.304600338
good,no balance,16,paid back previous credits at this bank,other,1175,no savings,unemployed,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,68,no further running credits,owner,4 or 5,unemployed/unskilled with no permaant residence,3 and more,yes,yes,0.304079127
good,no running account,27,paid back previous credits at this bank,retraining,2442,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,43,at department store or mail order house,rented,6 or more,executive/self-employed/higher civil servant,0 to 2,yes,yes,0.300295488
good,no balance,15,no previous credits or paid back,household appliances,1308,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,38,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.299912546
bad,no balance,9,no previous credits or paid back,used car,959,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,29,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.298674096
bad,no balance,48,hesistant payment of previous credits,retraining,3844,less than 100 DM,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,34,no further running credits,owner,one,unskilled with permanant residence,0 to 2,no,yes,0.297603339
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,1851,no savings,between 4 and 7 years,less than 20,male:married/widowed,guarantor,between 1 and 4 years,savings contract with a building society/Life insurance,33,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.294970675
bad,no balance,27,no previous credits or paid back,retraining,3915,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,36,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.293643259
bad,no running account,12,no previous credits or paid back,vacation,902,no savings,between 4 and 7 years,less than 20,male:married/widowed,none,greater than 7 years,car/other,21,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.292548021
good,>=200 DM,36,no previous credits or paid back,new car,4686,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,ownership of house or land,32,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.291332629
good,>=200 DM,15,no previous credits or paid back,new car,4657,no savings,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,30,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.289496321
bad,no balance,27,hesistant payment of previous credits,retraining,8318,no savings,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,42,at department store or mail order house,owner,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,0.288895199
good,>=200 DM,27,paid back previous credits at this bank,used car,4526,between 500 and 1000 DM,less than 1 year,less than 20,male:single,none,between 1 and 4 years,no assets,32,at department store or mail order house,rented,2 or 3,unskilled with permanant residence,0 to 2,yes,yes,0.28803506
bad,no running account,48,no previous credits or paid back,other,3931,no savings,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,46,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.287177481
good,no balance,24,no problems with current credits at this bank,items of furniture,1553,less than 100 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,car/other,23,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.284372577
good,no balance,9,no previous credits or paid back,other,3195,greater than 1000 DM,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,no assets,33,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,0.282246394
good,<= 200 DM,36,no previous credits or paid back,items of furniture,4473,no savings,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.281321488
bad,no balance,9,problematic running accounts,other,1437,less than 100 DM,between 4 and 7 years,between 25 and 35,male:single,none,between 4 and 7 years,ownership of house or land,29,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.27791004
good,no running account,30,paid back previous credits at this bank,new car,6187,less than 100 DM,between 4 and 7 years,greater than 35,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,24,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.276204815
good,>=200 DM,24,no previous credits or paid back,other,1469,less than 100 DM,greater than 7 years,less than 20,male:married/widowed,none,greater than 7 years,no assets,41,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,0.275468289
good,no balance,20,no previous credits or paid back,new car,6468,greater than 1000 DM,unemployed,greater than 35,male:divorced/living apart,none,greater than 7 years,no assets,60,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.273875328
good,no running account,6,paid back previous credits at this bank,items of furniture,338,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,52,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.270740952
bad,no balance,30,hesistant payment of previous credits,retraining,4280,less than 100 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,26,no further running credits,free apartment,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.27034397
good,>=200 DM,24,no previous credits or paid back,used car,2835,between 100 and 500 DM,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,car/other,53,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.270054871
good,no running account,48,no previous credits or paid back,repair,7476,no savings,between 4 and 7 years,less than 20,male:single,none,less than 1 year,ownership of house or land,50,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.264480557
